Model,Minibatches (thousands),P,R,F1,F0.5
baseline 7,590,0.3319,0.1413,0.1982,0.2614
baseline 8,460,0.3376,0.1362,0.1941,0.2605
baseline 9,580,0.3456,0.1443,0.2036,0.2702
edit vectors 0,210,0.0805,0.0248,0.0379,0.0555
edit vectors 1,590,0.3448,0.1437,0.2029,0.2694
edit vectors 2,710,0.3791,0.1869,0.2504,0.3144
edit vectors 3,480,0.397,0.2117,0.2761,0.3379
edit vectors 4,350,0.3984,0.2294,0.2912,0.3472
edit vectors 5,400,0.398,0.2624,0.3163,0.3607
edit vectors 6,620,0.4044,0.2857,0.3348,0.3734
